TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,1,0
2020-01-31T00:00:00Z,1,0
2020-02-01T00:00:00Z,1,0
2020-02-02T00:00:00Z,2,1
2020-02-03T00:00:00Z,2,1
2020-02-04T00:00:00Z,2,1
2020-02-05T00:00:00Z,2,1
2020-02-06T00:00:00Z,2,1
2020-02-07T00:00:00Z,3,1
2020-02-08T00:00:00Z,3,1
2020-02-09T00:00:00Z,3,1
2020-02-10T00:00:00Z,3,1
2020-02-11T00:00:00Z,3,1
2020-02-12T00:00:00Z,3,1
2020-02-13T00:00:00Z,3,1
2020-02-14T00:00:00Z,3,1
2020-02-15T00:00:00Z,3,1
2020-02-16T00:00:00Z,3,1
2020-02-17T00:00:00Z,3,1
2020-02-18T00:00:00Z,3,1
2020-02-19T00:00:00Z,3,1
2020-02-20T00:00:00Z,3,1
2020-02-21T00:00:00Z,3,1
2020-02-22T00:00:00Z,3,1
2020-02-23T00:00:00Z,3,1
2020-02-24T00:00:00Z,3,1
2020-02-25T00:00:00Z,3,1
2020-02-26T00:00:00Z,3,1
2020-02-27T00:00:00Z,3,1
2020-02-28T00:00:00Z,3,1
2020-02-29T00:00:00Z,3,1
2020-03-01T00:00:00Z,3,1
2020-03-02T00:00:00Z,3,1
2020-03-03T00:00:00Z,3,1
2020-03-04T00:00:00Z,3,1
2020-03-05T00:00:00Z,3,1
2020-03-06T00:00:00Z,5,1
2020-03-07T00:00:00Z,6,1
2020-03-08T00:00:00Z,10,1
2020-03-09T00:00:00Z,20,1
2020-03-10T00:00:00Z,33,1
2020-03-11T00:00:00Z,49,1
2020-03-12T00:00:00Z,52,2
2020-03-13T00:00:00Z,64,5
2020-03-14T00:00:00Z,111,8
2020-03-15T00:00:00Z,140,11
2020-03-16T00:00:00Z,142,12
2020-03-17T00:00:00Z,187,12
2020-03-18T00:00:00Z,202,19
2020-03-19T00:00:00Z,217,17
2020-03-20T00:00:00Z,230,18
2020-03-21T00:00:00Z,307,19
2020-03-22T00:00:00Z,380,25
2020-03-23T00:00:00Z,462,33
2020-03-24T00:00:00Z,552,35
2020-03-25T00:00:00Z,636,38
2020-03-26T00:00:00Z,707,45
2020-03-27T00:00:00Z,803,54
2020-03-28T00:00:00Z,1075,68
2020-03-29T00:00:00Z,1418,71
2020-03-30T00:00:00Z,1546,78
2020-03-31T00:00:00Z,2084,88
2020-04-01T00:00:00Z,2311,96
2020-04-02T00:00:00Z,2633,107
2020-04-03T00:00:00Z,3018,136
2020-04-04T00:00:00Z,3094,144
2020-04-05T00:00:00Z,3246,152
2020-04-06T00:00:00Z,3660,163
2020-04-07T00:00:00Z,3764,177
2020-04-08T00:00:00Z,3870,182
2020-04-09T00:00:00Z,4076,203
2020-04-10T00:00:00Z,4195,221
2020-04-11T00:00:00Z,4428,247
2020-04-12T00:00:00Z,4648,297
2020-04-13T00:00:00Z,4932,315
2020-04-14T00:00:00Z,5223,335
2020-04-15T00:00:00Z,5453,349
